Canal,Sistema,UEN,Tecnologia,Tipo_de_Documento,Numero_de_Documento,Cliente,Contacto,Linea_del_Servicio,Single,Pedido,Ciudad
ASEGURAMIENTO,SUMA,HOGARES,FTTH,CC,1000454337,DAVID COLOMA MENDOZA,3696010353371,856281211,0106,8993,BOGOTA
VENTAS,SUMA,HOGARES,FTTH,CC,1000454338,CARINA VALENTINA ORTEGA LLUCH,2643493052225,757331134,0107,8994,BOGOTA
VENTAS,SUMA,HOGARES,FTTH,CC,1000454339,ISIDORO PEREA ARELLANO,8425698630031,531463550,0108,8995,BOGOTA
ESCRITA,SUMA,HOGARES,FTTH,CC,1000454340,RICO PUJADAS CORTÉS,3171303911846,611538570,0109,8996,BOGOTA
LINEA ESPECIAL,SUMA,HOGARES,FTTH,CC,1000454341,ÓSCAR ROBLEDO MAS,7676947671201,436323556,0110,8997,BOGOTA
LINEA ESPECIAL,SIEBEL SOMOS Y CONVERGENTE,HOGARES,FTTH,CC,1000454342,AURELIANO RIOS BAUTISTA,5481221100027,335411601,0111,8998,BOGOTA
LINEA ESPECIAL,SUMA,HOGARES,FTTH,CC,1000454343,AMANDO DURÁN ARELLANO,5951897992924,599411742,0112,8999,BOGOTA
CANAL DIGITAL,SIEBEL SOMOS Y CONVERGENTE,HOGARES,FTTH,CC,1000454344,ARIEL DE PLA,0864340814269,261823153,0113,9000,BOGOTA
REDES SOCIALES,SUMA,HOGARES,FTTH,CC,1000454345,MARCOS EXPOSITO,1380440096210,597654616,0114,9001,BOGOTA
LINEA ESPECIAL,SUMA,HOGARES,FTTH,CC,1000454346,JOSÉ ÁLVAREZ MILLÁN,6405558370859,137868220,0115,9002,BOGOTA
ASEGURAMIENTO,SIEBEL SOMOS Y CONVERGENTE,HOGARES,FTTH,CC,1000454347,ARMIDA ZABALETA AGUSTÍN,3978702868904,762108134,0116,9003,BOGOTA
VENTAS,SUMA,HOGARES,FTTH,CC,1000454348,PRUDENCIA REQUENA-PAGÈS,7845686457001,970572856,0117,9004,BOGOTA
ESCRITA,SIEBEL SOMOS Y CONVERGENTE,HOGARES,FTTH,CC,1000454349,BUENAVENTURA BATLLE MANSO,7238510090697,754276993,0118,9005,BOGOTA
VENTAS,SUMA,HOGARES,FTTH,CC,1000454350,MARTÍN CARVAJAL-GUERRA,0529475574410,857629599,0119,9006,BOGOTA
