Canal,Sistema,UEN,Tecnologia,Tipo_de_Documento,Numero_de_Documento,Cliente,Contacto,"Linea_del_Servicio | Single","Pedido | Orden","Cuenta de Facturacion",Ciudad
VENTAS,SUMA,HOGARES,FTTH,CC,1000454393,"PAULA BÁEZ PUJADAS",5663786691525,151222588,0162,9049,BOGOTA
RETENCIONES,"SIEBEL SOMOS Y CONVERGENTE",HOGARES,FTTH,CC,1000454394,"JENNIFER PARDO COELLO",1957807390267,494638448,0163,9050,BOGOTA
ESCRITA,"SIEBEL SOMOS Y CONVERGENTE",HOGARES,FTTH,CC,1000454395,"GREGORIO PRUDENCIO ALMEIDA MALO",9928121274316,284988264,0164,9051,BOGOTA
"CANAL DIGITAL","SIEBEL SOMOS Y CONVERGENTE",HOGARES,FTTH,CC,1000454396,"JESSICA ZAMORA POZUELO",3724096139338,930584178,0165,9052,BOGOTA
"LINEA ESPECIAL",SUMA,HOGARES,FTTH,CC,1000454397,"FITO JOVER ESCALONA",6553698299603,511776203,0166,9053,BOGOTA
RETENCIONES,"SIEBEL SOMOS Y CONVERGENTE",HOGARES,FTTH,CC,1000454398,"ENRIQUE GERÓNIMO SUÁREZ MACHADO",8764956843907,978771335,0167,9054,BOGOTA
RETENCIONES,SUMA,HOGARES,FTTH,CC,1000454399,"MARCIANO CARO DIEGO",9537918684603,147975743,0168,9055,BOGOTA
"CALL TECNICO","SIEBEL SOMOS Y CONVERGENTE",HOGARES,FTTH,CC,1000454400,"ENCARNITA RAMÓN-SANTAMARÍA",5103040117731,137239177,0169,9056,BOGOTA
"CALL TECNICO","SIEBEL SOMOS Y CONVERGENTE",HOGARES,FTTH,CC,1000454401,"NÉLIDA FAJARDO-MATEU",5863193386026,331375052,0170,9057,BOGOTA
TIENDAS,"SIEBEL SOMOS Y CONVERGENTE",HOGARES,FTTH,CC,1000454402,"ROSARIO VIVES URIARTE",9161107437742,621035780,0171,9058,BOGOTA
"CALL CENTER",SUMA,HOGARES,FTTH,CC,1000454403,"EVARISTO DEL PALACIO",9079958720332,666439614,0172,9059,BOGOTA
RETENCIONES,"SIEBEL SOMOS Y CONVERGENTE",HOGARES,FTTH,CC,1000454404,"ENCARNA VAZQUEZ-LOSADA",2925148071842,338615964,0173,9060,BOGOTA
TIENDAS,SUMA,HOGARES,FTTH,CC,1000454405,"NICO GUIJARRO VALDÉS",0644728326162,792713310,0174,9061,BOGOTA
"CANAL DIGITAL",SUMA,HOGARES,FTTH,CC,1000454406,"GERARDO DALMAU VIDAL",0053858906212,243716734,0175,9062,BOGOTA
"CALL CENTER",SUMA,HOGARES,FTTH,CC,1000454407,"MÁXIMO CALVET REYES",2351875997477,668202521,0176,9063,BOGOTA
"LINEA ESPECIAL","SIEBEL SOMOS Y CONVERGENTE",HOGARES,FTTH,CC,1000454408,"YAGO DE ARANDA",0453714795164,264766746,0177,9064,BOGOTA
"CALL TECNICO","SIEBEL SOMOS Y CONVERGENTE",HOGARES,FTTH,CC,1000454409,"ESTER CERVANTES RAMIREZ",5925581405113,606577481,0178,9065,BOGOTA
"CALL TECNICO","SIEBEL SOMOS Y CONVERGENTE",HOGARES,FTTH,CC,1000454410,"SIGFRIDO BARRIO FALCÓ",3081460591570,166449493,0179,9066,BOGOTA
